sampling_location,sample_date,top_ammonium_mg_l,oakwood_bod_top_sample_mg_l,oxidation_reduction_potential_mv_bottom_sample,top_bottom_coliform_cells_100_ml,bottom_salinity_psu,ctd_conductivity_temperature_depth_profiler_bottom_dissolved_oxygen_mg_l,top_nitrate_nitrite_mg_l,top_dissolved_organic_carbon_mg_l,oxidation_reduction_potential_mv_bottom_sample,top_enterococci_bacteria_cells_100ml,top_total_suspended_solid_mg_l,total_phosphorus_mg_l,top_ph,bottom_ph,top_fecal_coliform_bacteria_cells_100ml,winkler_method_bottom_dissolved_oxygen_mg_l,oxidation_reduction_potential_mv_bottom_sample,oxidation_reduction_potential_mv_top_sample,sample_date,DESCRIPTION
N2,1982-08-04T00:00:00.000,0,2.2,0,3300,20.6,0,0,0,0,0,0,0,0,0,0,3.5,0,0,1982-08-04T00:00:00.000,
N2,1982-08-04T00:00:00.000,0,2.2,0,3300,20.6,0,0,0,0,0,0,0,0,0,0,3.5,0,0,1982-08-04T00:00:00.000,
E14,2016-09-19T00:00:00.000,0.248,0,201.71,0,26.02,4.7,0.422,2.45,201.71,108,11,0.201,7.51,7.53,260,4.86,201.71,204.56,2016-09-19T00:00:00.000,Bronx River
E14,2014-02-24T00:00:00.000,0.155,0,0,0,0,0,0.11,3.43,0,4,25,0.13,0,0,2,13.39,0,0,2014-02-24T00:00:00.000,Bronx River
E14,1989-07-24T00:00:00.000,0,0,0,3300,24,0,0.28,0,0,0,0,0.17,7.37,7.34,40,3.8,0,0,1989-07-24T00:00:00.000,Bronx River
E14,1995-01-04T00:00:00.000,0.69,0,0,0,23.91,0,0.58,0,0,0,21,0.19,7.36,7.44,0,9.13,0,0,1995-01-04T00:00:00.000,Bronx River
E14,2008-06-09T00:00:00.000,0.603,0,0,0,23.6,5.47,0.274,2.77,0,12,10,0.188,7.11,7.11,110,5.98,0,0,2008-06-09T00:00:00.000,Bronx River
E14,2012-09-04T00:00:00.000,0.387,0,226.3,0,25.41,3.4,0.524,3.4,226.3,3,11,0.251,7.31,7.29,15,3.63,226.3,227.733,2012-09-04T00:00:00.000,Bronx River
E14,2004-07-12T00:00:00.000,0.316,0,0,0,24.13,0,0.17,3.21,0,24,5.6,0.243,7.2,7.24,119,4.31,0,0,2004-07-12T00:00:00.000,Bronx River
E14,2011-08-01T00:00:00.000,0.231,0,0,0,0,0,0.17,2.5,0,30,18,0.753,0,0,144,4.24,0,0,2011-08-01T00:00:00.000,Bronx River
E14,2011-12-13T00:00:00.000,0.318,0,0,0,0,0,0.513,3.24,0,2,16,0.165,7.35,7.45,21,8.37,0,215.809,2011-12-13T00:00:00.000,Bronx River
E14,2012-09-10T00:00:00.000,0.298,0,254.022,0,26.62,2.75,0.368,3.2,254.022,8,7,0.213,7.22,7.26,484,3.21,254.022,249.869,2012-09-10T00:00:00.000,Bronx River
E14,2009-08-31T00:00:00.000,0.284,0,193.707,0,24.84,2.83,0.322,5.2,193.707,1,12.4,0.176,7.19,7.17,55,3.15,193.707,186.604,2009-08-31T00:00:00.000,Bronx River
E14,1997-08-19T00:00:00.000,0.508,0,0,0,24.38,2.85,0.331,0,0,0,8,0.189,7.27,7.21,62,3.27,0,0,1997-08-19T00:00:00.000,Bronx River
E14,1996-06-25T00:00:00.000,0.435,0,0,800,23.84,6.33,0.222,0,0,0,18,0.15,7.83,7.83,55,7.24,0,0,1996-06-25T00:00:00.000,Bronx River
N3B,2003-04-08T00:00:00.000,0.192,0,0,0,24.78,15.38,0.724,5.15,0,80,8.6,0.08,7.39,7.94,0,11.27,0,0,2003-04-08T00:00:00.000,125th Street
N3B,1979-06-27T00:00:00.000,0,0.8,0,17000,19.8,0,0,0,0,0,0,0,0,0,0,3.8,0,0,1979-06-27T00:00:00.000,125th Street
N3B,1979-06-27T00:00:00.000,0,0.8,0,17000,19.8,0,0,0,0,0,0,0,0,0,0,3.8,0,0,1979-06-27T00:00:00.000,125th Street
N3B,1955-07-27T00:00:00.000,0,0,0,93,25.9,0,0,0,0,0,0,0,0,0,0,1.4,0,0,1955-07-27T00:00:00.000,125th Street
N3B,1955-06-08T00:00:00.000,0,0,0,93,18.55,0,0,0,0,0,0,0,0,0,0,3.9,0,0,1955-06-08T00:00:00.000,125th Street
N3B,1960-06-29T00:00:00.000,0,0,0,240,20.3,0,0,0,0,0,0,0,0,0,0,2.9,0,0,1960-06-29T00:00:00.000,125th Street
N3B,2008-08-04T00:00:00.000,0.254,0,0,0,21.64,4.42,0.322,3,0,6,24,0.134,7.4,7.5,0,5.56,0,0,2008-08-04T00:00:00.000,125th Street
N3B,2006-08-28T00:00:00.000,0.306,0,89.682,0,22.67,4.37,0.35,4.28,89.682,235,1.5,0.142,7.35,7.4,52,5.22,89.682,75.211,2006-08-28T00:00:00.000,125th Street
N3B,1994-06-14T00:00:00.000,0.28,2.4,0,1300,24.7,0,0.34,0,0,0,18,0.099,0,0,36,6.39,0,0,1994-06-14T00:00:00.000,125th Street
N3B,2005-07-11T00:00:00.000,0.2,0,0,0,0,0,0.454,0,0,4,11.5,0.119,0,0,162,4.99,0,0,2005-07-11T00:00:00.000,125th Street
N3B,1986-07-09T00:00:00.000,0,3.9,0,3300,20,0,0,0,0,0,0,0,8,7.6,322,6,0,0,1986-07-09T00:00:00.000,125th Street
N3B,1981-08-27T00:00:00.000,0,1.1,0,7900,24.2,0,0,0,0,0,0,0,0,0,0,2,0,0,1981-08-27T00:00:00.000,125th Street
N3B,1981-08-27T00:00:00.000,0,1.1,0,7900,24.2,0,0,0,0,0,0,0,0,0,0,2,0,0,1981-08-27T00:00:00.000,125th Street
N3B,1979-08-21T00:00:00.000,0,2.5,0,7000,21.2,0,0,0,0,0,0,0,0,0,0,4.5,0,0,1979-08-21T00:00:00.000,125th Street
N3B,1979-08-21T00:00:00.000,0,2.5,0,7000,21.2,0,0,0,0,0,0,0,0,0,0,4.5,0,0,1979-08-21T00:00:00.000,125th Street
N3B,1965-08-04T00:00:00.000,0,0,0,79,21.7,0,0,0,0,0,0,0,0,0,0,2.5,0,0,1965-08-04T00:00:00.000,125th Street
N3B,1963-07-30T00:00:00.000,0,0,0,43,24.15,0,0,0,0,0,0,0,0,0,0,1.8,0,0,1963-07-30T00:00:00.000,125th Street
N3B,1999-09-01T00:00:00.000,0.288,0,0,0,20.02,4.62,0.444,0,0,0,0.8,0.171,7.18,7.1,16,5.08,0,0,1999-09-01T00:00:00.000,125th Street
N3B,2014-09-22T00:00:00.000,0.31,0,284.388,0,22.04,5.3,0.345,2.87,284.388,4,9,0.114,7.43,7.44,22,5.86,284.388,276.1,2014-09-22T00:00:00.000,125th Street
N3B,1959-08-05T00:00:00.000,0,0,0,1100,24.15,0,0,0,0,0,0,0,0,0,0,2.2,0,0,1959-08-05T00:00:00.000,125th Street
N3B,2007-03-19T00:00:00.000,0.25,0,165.84,0,11.7,9.97,0.651,3.66,165.84,32,26,0.12,7.64,7.65,52,13.13,165.84,164.028,2007-03-19T00:00:00.000,125th Street
N1,2000-04-12T00:00:00.000,0.086,0,0,0,0.41,0,0.609,0,0,0,0,0.088,7.78,0,0,0,0,0,2000-04-12T00:00:00.000,Mt. St. Vincent
N1,1968-07-24T00:00:00.000,0,4.5,0,17000,11.8,0,0,0,0,0,0,0,0,0,0,6,0,0,1968-07-24T00:00:00.000,Mt. St. Vincent
N1,1998-05-19T00:00:00.000,0.05,0,0,0,10.63,7.17,0.45,0,0,0,20,0.084,7.8,7.51,22,7.63,0,0,1998-05-19T00:00:00.000,Mt. St. Vincent
N1,2006-10-23T00:00:00.000,0.086,0,69.474,0,8.68,7.06,0.601,4.27,69.474,4,14,0.172,7.12,7.46,10,7.4,69.474,56.694,2006-10-23T00:00:00.000,Mt. St. Vincent
N1,2009-08-31T00:00:00.000,0.092,0,206.277,0,16.94,3.53,0.398,7.2,206.277,8,13.6,0.089,7.57,7.26,22,3.44,206.277,172.475,2009-08-31T00:00:00.000,Mt. St. Vincent
N1,2004-08-23T00:00:00.000,0.076,0,0,0,11.75,0,0.532,3.6,0,9,9.6,0.119,7.88,7.55,40,4.77,0,0,2004-08-23T00:00:00.000,Mt. St. Vincent
N1,1959-07-01T00:00:00.000,0,0,0,93,19.95,0,0,0,0,0,0,0,0,0,0,3.1,0,0,1959-07-01T00:00:00.000,Mt. St. Vincent
N1,2009-05-26T00:00:00.000,0.32,0,0,0,15.29,7.47,0.379,3.1,0,5,19.4,0.116,7.44,7.52,10,9.14,0,0,2009-05-26T00:00:00.000,Mt. St. Vincent
N1,1951-07-18T00:00:00.000,0,0,0,0,16.1,0,0,0,0,0,0,0,0,0,0,3.7,0,0,1951-07-18T00:00:00.000,Mt. St. Vincent
N1,1966-07-06T00:00:00.000,0,0,0,13,12.25,0,0,0,0,0,0,0,0,0,0,4.3,0,0,1966-07-06T00:00:00.000,Mt. St. Vincent
N1,2004-06-07T00:00:00.000,0.204,0,0,0,0,0,0.584,3.66,0,2,10.6,0.116,0,0,5,6.42,0,0,2004-06-07T00:00:00.000,Mt. St. Vincent
N1,2008-09-08T00:00:00.000,0.032,0,0,0,20.21,4.86,0.426,6.6,0,2,5.2,0.119,7.73,7.39,166,5.85,0,0,2008-09-08T00:00:00.000,Mt. St. Vincent
N1,2001-05-01T00:00:00.000,0.102,0,0,0,12.23,0,0.604,2.96,0,14,30.2,0.104,7.85,7.73,64,10.29,0,0,2001-05-01T00:00:00.000,Mt. St. Vincent
N1,1962-07-18T00:00:00.000,0,0,0,150,19.95,0,0,0,0,0,0,0,0,0,0,2.5,0,0,1962-07-18T00:00:00.000,Mt. St. Vincent
N1,1997-08-18T00:00:00.000,0.243,0,0,0,17.29,4.06,0.512,0,0,0,15,0.215,7.27,7.3,93,5,0,0,1997-08-18T00:00:00.000,Mt. St. Vincent
N1,1934-07-31T00:00:00.000,0,0,0,0,16.1,0,0,0,0,0,0,0,0,0,0,2.52,0,0,1934-07-31T00:00:00.000,Mt. St. Vincent
N1,1931-07-23T00:00:00.000,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,5.09,0,0,1931-07-23T00:00:00.000,Mt. St. Vincent
N1,1998-07-23T00:00:00.000,0.134,0,0,0,15.02,4.64,0.555,0,0,0,22,0.25,7.57,7.52,20,4.82,0,0,1998-07-23T00:00:00.000,Mt. St. Vincent
N1,1939-06-28T00:00:00.000,0,0,0,0,14.35,0,0,0,0,0,0,0,0,0,0,3.54,0,0,1939-06-28T00:00:00.000,Mt. St. Vincent
N1,2004-05-24T00:00:00.000,0.09,0,0,0,17.64,0,0.5,3.53,0,2,1.2,0.072,7.47,7.42,45,6.14,0,0,2004-05-24T00:00:00.000,Mt. St. Vincent
N1,2012-11-10T00:00:00.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012-11-10T00:00:00.000,Mt. St. Vincent
N1,2007-11-13T00:00:00.000,0.353,0,0,0,18.43,5.75,0.624,3.14,0,48,17,0.158,7.39,7.34,144,8.8,0,0,2007-11-13T00:00:00.000,Mt. St. Vincent
N1,2012-08-06T00:00:00.000,0.204,0,358.594,0,15.93,4.85,0.478,3.53,358.594,2,16,0.172,7.42,7.39,40,5.21,358.594,347.43,2012-08-06T00:00:00.000,Mt. St. Vincent
N1,2011-06-20T00:00:00.000,0.182,0,350.249,0,14.16,5.19,0.428,2.9,350.249,10,12,0.087,7.26,7.17,62,5.24,350.249,328.629,2011-06-20T00:00:00.000,Mt. St. Vincent
x702_1909_DO,1909-09-18T00:00:00.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.12,0,0,1909-09-18T00:00:00.000,
E10,2011-07-05T00:00:00.000,0.148,0,351.348,0,24.93,3.75,0.13,3.9,351.348,1,12,0.171,7.6,7.65,60,4.74,351.348,344.209,2011-07-05T00:00:00.000,Hart Island
E10,2001-10-23T00:00:00.000,0.195,0,0,0,27.48,0,0.159,2.49,0,0,2.2,0.162,7.91,7.82,7,6.8,0,0,2001-10-23T00:00:00.000,Hart Island
E10,2013-03-04T00:00:00.000,0.05,0,0,0,26.91,1.1,0.06,3,0,1,5,0.096,8.39,8.42,3,13.13,0,0,2013-03-04T00:00:00.000,Hart Island
E10,1999-10-05T00:00:00.000,0,0,0,0,26.28,6.46,0,0,0,0,0,0,6.79,6.81,0,7.67,0,0,1999-10-05T00:00:00.000,Hart Island
E10,1999-03-29T00:00:00.000,0.036,0,0,0,24.77,11.15,0.034,0,0,0,3.6,0.056,8.69,8.75,0,11.48,0,0,1999-03-29T00:00:00.000,Hart Island
E10,2001-07-17T00:00:00.000,0.023,0,0,0,26.51,0,0.014,3.58,0,2,10.2,0.128,8.09,7.59,6,3.6,0,0,2001-07-17T00:00:00.000,Hart Island
E10,1999-06-01T00:00:00.000,0,0,0,0,25.61,6.33,0,0,0,0,0,0,7.78,7.56,0,6.73,0,0,1999-06-01T00:00:00.000,Hart Island
E10,1966-06-27T00:00:00.000,0,0,0,2,29.4,0,0,0,0,0,0,0,0,0,0,7.9,0,0,1966-06-27T00:00:00.000,Hart Island
E10,1994-07-21T00:00:00.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.26,0,0,1994-07-21T00:00:00.000,Hart Island
E10,1998-10-27T00:00:00.000,0.251,0,0,0,0,0,0.408,0,0,0,5,0.155,7.51,7.55,0,6.83,0,0,1998-10-27T00:00:00.000,Hart Island
E10,1964-08-10T00:00:00.000,0,0,0,4,29.4,0,0,0,0,0,0,0,0,0,0,5.9,0,0,1964-08-10T00:00:00.000,Hart Island
E10,1955-08-25T00:00:00.000,0,0,0,9,28.7,0,0,0,0,0,0,0,0,0,0,4.8,0,0,1955-08-25T00:00:00.000,Hart Island
E10,1985-07-15T00:00:00.000,0,4.5,0,50,25,0,0,0,0,0,0,0,0,0,0,4.1,0,0,1985-07-15T00:00:00.000,Hart Island
E10,1992-09-01T00:00:00.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9,0,0,1992-09-01T00:00:00.000,Hart Island
E10,1963-08-08T00:00:00.000,0,0,0,4,30.8,0,0,0,0,0,0,0,0,0,0,3.8,0,0,1963-08-08T00:00:00.000,Hart Island
E10,2006-08-21T00:00:00.000,0.025,0,172.694,0,26.66,1.4,0.029,2.75,172.694,1,4.75,0.145,7.43,7.14,2,1.61,172.694,185.799,2006-08-21T00:00:00.000,Hart Island
E10,2012-03-05T00:00:00.000,0.019,0,0,0,25.58,11.19,0.015,2.27,0,1,5,0.087,8.06,8.03,2,12.07,0,0,2012-03-05T00:00:00.000,Hart Island
E10,1991-07-15T00:00:00.000,0.42,1.2,0,70,26.3,0,0.18,0,0,0,14,0.19,0,0,11,4,0,0,1991-07-15T00:00:00.000,Hart Island
E10,1987-06-29T00:00:00.000,0.26,1.4,0,80,0,0,0.09,0,0,0,0,0.12,7.85,7.91,18,6,0,0,1987-06-29T00:00:00.000,Hart Island
E10,1958-08-18T00:00:00.000,0,0,0,2,29.05,0,0,0,0,0,0,0,0,0,0,3.6,0,0,1958-08-18T00:00:00.000,Hart Island
K4,1952-07-15T00:00:00.000,0,0,0,0,20.3,0,0,0,0,0,0,0,0,0,0,0.2,0,0,1952-07-15T00:00:00.000,Fresh Kills
K4,2003-04-10T00:00:00.000,0.612,0,0,0,23.14,14.71,0.626,5.41,0,72,4.4,0.14,7.73,7.83,0,10.5,0,0,2003-04-10T00:00:00.000,Fresh Kills
K4,1937-06-08T00:00:00.000,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,6.54,0,0,1937-06-08T00:00:00.000,Fresh Kills
K4,1931-07-22T00:00:00.000,0,0,0,0,19.95,0,0,0,0,0,0,0,0,0,0,1.09,0,0,1931-07-22T00:00:00.000,Fresh Kills
K4,2002-06-05T00:00:00.000,0.582,0,0,0,0,0,0.502,2.92,0,0,7.2,0.202,7.55,7.59,22,6.37,0,0,2002-06-05T00:00:00.000,Fresh Kills
K4,2006-06-29T00:00:00.000,0.622,0,0,0,0,0,0.477,4.17,0,6,26.75,0.204,0,0,96,5.22,0,0,2006-06-29T00:00:00.000,Fresh Kills
K4,2001-08-29T00:00:00.000,0.781,0,0,0,0,0,0.663,2.4,0,1,6,0.335,7.3,7.34,84,4.3,0,0,2001-08-29T00:00:00.000,Fresh Kills
K4,2013-07-23T00:00:00.000,0.546,0,0,0,21.24,4.25,0.507,3.7,0,12,7,0.206,7.43,7.42,210,4.29,0,0,2013-07-23T00:00:00.000,Fresh Kills
K4,1997-08-20T00:00:00.000,0.615,0,0,0,24.46,2.97,0.38,0,0,0,24,0.241,7.32,7.41,40,4,0,0,1997-08-20T00:00:00.000,Fresh Kills
K4,1945-07-12T00:00:00.000,0,0,0,0,23.8,0,0,0,0,0,0,0,0,0,0,3.6,0,0,1945-07-12T00:00:00.000,Fresh Kills
K4,2008-07-23T00:00:00.000,0.421,0,0,0,24.08,4.33,0.466,4.9,0,2,4.8,0.24,7.27,7.32,0,5.5,0,0,2008-07-23T00:00:00.000,Fresh Kills
K4,2013-09-17T00:00:00.000,0.635,0,0,0,23,5.36,0.701,3.87,0,12,23,0.225,7.46,7.48,30,5.49,0,0,2013-09-17T00:00:00.000,Fresh Kills
NW,1986-08-13T00:00:00.000,0,0,0,3300,23,0,0,0,0,0,0,0,7.6,7.5,0,4.3,0,0,1986-08-13T00:00:00.000,
NW,1982-07-20T00:00:00.000,0,0,0,0,26.5,0,0,0,0,0,0,0,0,0,0,4.9,0,0,1982-07-20T00:00:00.000,
NW,1982-07-20T00:00:00.000,0,0,0,0,26.5,0,0,0,0,0,0,0,0,0,0,4.9,0,0,1982-07-20T00:00:00.000,
SP1,2014-06-11T00:00:00.000,2.624,0,0,0,0,0,0.374,3.84,0,10,3,0.474,0,0,530,0,0,0,2014-06-11T00:00:00.000,Head of basin
SP1,2016-09-14T00:00:00.000,0.422,0,0,0,0,0,0.233,3.9,0,10,170,0.897,8.27,0,180,0,0,0,2016-09-14T00:00:00.000,Head of basin
SP1,2010-08-24T00:00:00.000,1.06,0,0,0,0,0,0.468,4,0,450,8.8,0.482,7.81,0,"16,000",0,0,0,2010-08-24T00:00:00.000,Head of basin
SP1,2009-10-19T00:00:00.000,0.848,0,0,0,0,0,0.577,3.6,0,30,100,0.606,7.57,0,130,0,0,0,2009-10-19T00:00:00.000,Head of basin
SP1,2015-07-22T00:00:00.000,0.29,0,0,0,0,0,0.117,3.49,0,2,36,0.41,0,0,30,0,0,0,2015-07-22T00:00:00.000,Head of basin
SP1,2013-01-16T00:00:00.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-01-16T00:00:00.000,Head of basin
SP1,2013-08-26T00:00:00.000,1.04,0,0,0,0,0,0.278,4.3,0,2,12,0.27,0,0,10,0,0,0,2013-08-26T00:00:00.000,Head of basin
SP1,2011-06-06T00:00:00.000,0.408,0,0,0,0,0,0.348,4.5,0,2,4,0.274,8.62,0,28,0,0,0,2011-06-06T00:00:00.000,Head of basin
N5,1991-12-16T00:00:00.000,0.26,1.2,0,0,25.6,0,0.47,0,0,0,8,0.1,0,0,0,9.5,0,0,1991-12-16T00:00:00.000,Pier A-The Battery
N5,1941-07-03T00:00:00.000,0,0,0,0,25.9,0,0,0,0,0,0,0,0,0,0,1.36,0,0,1941-07-03T00:00:00.000,Pier A-The Battery
N5,2013-09-23T00:00:00.000,0.352,0,0,0,26.78,6.34,0.461,3.94,0,4,6,0.157,7.65,7.67,60,5.84,0,0,2013-09-23T00:00:00.000,Pier A-The Battery
N5,1925-07-09T00:00:00.000,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,3.01,0,0,1925-07-09T00:00:00.000,Pier A-The Battery
N5,1998-06-08T00:00:00.000,0.238,0,0,0,26.66,7.35,0.241,0,0,0,8,0.089,0,0,38,7.13,0,0,1998-06-08T00:00:00.000,Pier A-The Battery
N5,1998-05-28T00:00:00.000,0.288,0,0,0,0,0,0.324,0,0,0,16,0.117,7.48,7.51,86,6.45,0,0,1998-05-28T00:00:00.000,Pier A-The Battery
N5,1915-04-20T00:00:00.000,0,0,0,0,23.8,0,0,0,0,0,0,0,0,0,0,9.07,0,0,1915-04-20T00:00:00.000,Pier A-The Battery
N5,1952-07-31T00:00:00.000,0,0,0,0,24.85,0,0,0,0,0,0,0,0,0,0,3.2,0,0,1952-07-31T00:00:00.000,Pier A-The Battery
N5,2006-08-28T00:00:00.000,0.364,0,76.231,0,25.94,4.88,0.334,3.39,76.231,91,3.6,0.148,7.4,7.52,280,5.85,76.231,60.623,2006-08-28T00:00:00.000,Pier A-The Battery
N5,1909-04-07T00:00:00.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1909-04-07T00:00:00.000,Pier A-The Battery
N5,2007-07-30T00:00:00.000,0.329,0,0,0,0,0,0.378,2.7,0,5,8.25,0.121,0,0,52,5.54,0,0,2007-07-30T00:00:00.000,Pier A-The Battery
N5,1949-09-07T00:00:00.000,0,0,0,0,27.3,0,0,0,0,0,0,0,0,0,0,4.3,0,0,1949-09-07T00:00:00.000,Pier A-The Battery
N5,1992-09-22T00:00:00.000,0.32,1.1,0,0,24.41,0,0.47,0,0,0,8,0.15,6.08,6.06,250,5.21,0,0,1992-09-22T00:00:00.000,Pier A-The Battery
N5,1927-06-15T00:00:00.000,0,0,0,0,24.5,0,0,0,0,0,0,0,0,0,0,3.42,0,0,1927-06-15T00:00:00.000,Pier A-The Battery
N5,1939-08-10T00:00:00.000,0,0,0,0,23.8,0,0,0,0,0,0,0,0,0,0,3.19,0,0,1939-08-10T00:00:00.000,Pier A-The Battery
N5,1913-07-09T00:00:00.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.31,0,0,1913-07-09T00:00:00.000,Pier A-The Battery
N5,1999-07-20T00:00:00.000,0.279,0,0,0,26.06,4.75,0.408,0,0,0,6.4,0.141,7.36,7.41,720,5.66,0,0,1999-07-20T00:00:00.000,Pier A-The Battery
N5,1930-09-11T00:00:00.000,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,3.32,0,0,1930-09-11T00:00:00.000,Pier A-The Battery
N5,2012-12-26T00:00:00.000,0.181,0,131.463,0,27.41,8.23,0.437,3.2,131.463,74,9,0.123,7.65,7.76,144,9.78,131.463,125.002,2012-12-26T00:00:00.000,Pier A-The Battery
N5,1963-06-19T00:00:00.000,0,0,0,460,30.45,0,0,0,0,0,0,0,0,0,0,3.1,0,0,1963-06-19T00:00:00.000,Pier A-The Battery
N5,1928-08-08T00:00:00.000,0,0,0,0,20.3,0,0,0,0,0,0,0,0,0,0,1.5,0,0,1928-08-08T00:00:00.000,Pier A-The Battery
N5,1990-11-13T00:00:00.000,0.16,0,0,0,14.5,0,0.45,0,0,0,0,0.13,0,0,0,8.8,0,0,1990-11-13T00:00:00.000,Pier A-The Battery
N5,1926-08-04T00:00:00.000,0,0,0,0,25.2,0,0,0,0,0,0,0,0,0,0,1.6,0,0,1926-08-04T00:00:00.000,Pier A-The Battery
N5,1972-09-13T00:00:00.000,0,1.7,0,33000,21.3,0,0,0,0,0,0,0,0,0,0,2,0,0,1972-09-13T00:00:00.000,Pier A-The Battery
N5,2007-01-22T00:00:00.000,0.325,0,0,0,25.32,12.63,0.362,2.79,0,1,6.6,0.092,7.74,7.82,22,10.89,0,0,2007-01-22T00:00:00.000,Pier A-The Battery
N5,2012-05-29T00:00:00.000,0.247,0,0,0,27.72,7.27,0.387,2.82,0,11,7,0.114,7.62,0,34,0,0,0,2012-05-29T00:00:00.000,Pier A-The Battery
N5,1996-07-23T00:00:00.000,0.143,0,0,300,25.86,6.06,0.355,0,0,0,20,0.098,7.72,7.59,220,6.32,0,0,1996-07-23T00:00:00.000,Pier A-The Battery
H3,1988-09-27T00:00:00.000,0,2.7,0,2300,22,0,0,0,0,0,0,0,7.25,7.39,490,3.9,0,0,1988-09-27T00:00:00.000,155th Street
H3,1969-07-02T00:00:00.000,0,4.1,0,35000,10.3,0,0,0,0,0,0,0,0,0,0,4.9,0,0,1969-07-02T00:00:00.000,155th Street
H3,1990-07-11T00:00:00.000,0.32,1.8,0,7900,12.1,0,0.22,0,0,0,0,0.14,0,0,0,0,0,0,1990-07-11T00:00:00.000,155th Street
H3,1972-08-21T00:00:00.000,0,2.8,0,22000,20.2,0,0,0,0,0,0,0,0,0,0,3.1,0,0,1972-08-21T00:00:00.000,155th Street
H3,1956-08-29T00:00:00.000,0,0,0,150,25.55,0,0,0,0,0,0,0,0,0,0,1.2,0,0,1956-08-29T00:00:00.000,155th Street
H3,1965-07-02T00:00:00.000,0,0,0,540,19.95,0,0,0,0,0,0,0,0,0,0,3.5,0,0,1965-07-02T00:00:00.000,155th Street
H3,1935-08-30T00:00:00.000,0,0,0,0,12.6,0,0,0,0,0,0,0,0,0,0,2.92,0,0,1935-08-30T00:00:00.000,155th Street
H3,1918-07-16T00:00:00.000,0,0,0,0,14.7,0,0,0,0,0,0,0,0,0,0,3.75,0,0,1918-07-16T00:00:00.000,155th Street
H3,1982-08-30T00:00:00.000,0,0.5,0,1300,21.5,0,0,0,0,0,0,0,0,0,0,4.5,0,0,1982-08-30T00:00:00.000,155th Street
H3,1982-08-30T00:00:00.000,0,0.5,0,1300,21.5,0,0,0,0,0,0,0,0,0,0,4.5,0,0,1982-08-30T00:00:00.000,155th Street
H3,1940-09-05T00:00:00.000,0,0,0,0,15.4,0,0,0,0,0,0,0,0,0,0,2.61,0,0,1940-09-05T00:00:00.000,155th Street
H3,1967-05-31T00:00:00.000,0,0,0,920,20.3,0,0,0,0,0,0,0,0,0,0,6.4,0,0,1967-05-31T00:00:00.000,155th Street
H3,2010-08-23T00:00:00.000,0.406,0,202.521,0,24.53,3.16,0.49,3.2,202.521,450,6.2,0.236,7.26,7.28,"1,660",3.57,202.521,204.412,2010-08-23T00:00:00.000,155th Street
H3,1934-09-11T00:00:00.000,0,0,0,0,13.65,0,0,0,0,0,0,0,0,0,0,3.64,0,0,1934-09-11T00:00:00.000,155th Street
H3,1941-07-29T00:00:00.000,0,0,0,0,25.2,0,0,0,0,0,0,0,0,0,0,1.38,0,0,1941-07-29T00:00:00.000,155th Street
H3,1979-07-02T00:00:00.000,0,2.1,0,54000,20.8,0,0,0,0,0,0,0,0,0,0,3,0,0,1979-07-02T00:00:00.000,155th Street
H3,1979-07-02T00:00:00.000,0,2.1,0,54000,20.8,0,0,0,0,0,0,0,0,0,0,3,0,0,1979-07-02T00:00:00.000,155th Street
H3,1992-02-06T00:00:00.000,0.4,1.7,0,0,16.3,0,0.54,0,0,0,28,0.12,7.88,7.77,0,11.58,0,0,1992-02-06T00:00:00.000,155th Street
H3,1999-06-22T00:00:00.000,0.526,0,0,0,22.69,7.97,0.421,0,0,0,8,0.182,7.19,7.12,49,4.88,0,0,1999-06-22T00:00:00.000,155th Street
H3,1909-07-15T00:00:00.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1909-07-15T00:00:00.000,155th Street
H3,2013-07-15T00:00:00.000,0.122,0,0,0,7.42,6.1,0.47,4.5,0,30,20,0.12,7.47,7.51,56,6.01,0,0,2013-07-15T00:00:00.000,155th Street
H3,2007-05-29T00:00:00.000,0.371,0,181.684,0,20.08,5.78,0.384,2.78,181.684,2,6.5,0.12,7.41,7.44,18,6.85,181.684,185.768,2007-05-29T00:00:00.000,155th Street
H3,1979-09-12T00:00:00.000,0,3.5,0,17000,14.5,0,0,0,0,0,0,0,0,0,0,6.3,0,0,1979-09-12T00:00:00.000,155th Street
H3,1979-09-12T00:00:00.000,0,3.5,0,17000,14.5,0,0,0,0,0,0,0,0,0,0,6.3,0,0,1979-09-12T00:00:00.000,155th Street
H3,1956-09-12T00:00:00.000,0,0,0,93,25.2,0,0,0,0,0,0,0,0,0,0,1.4,0,0,1956-09-12T00:00:00.000,155th Street
