,sample_date,top_ammonium_mg_l,oakwood_bod_top_sample_mg_l,oxidation_reduction_potential_mv_bottom_sample,top_bottom_coliform_cells_100_ml,bottom_salinity_psu,ctd_conductivity_temperature_depth_profiler_bottom_dissolved_oxygen_mg_l,top_nitrate_nitrite_mg_l,top_dissolved_organic_carbon_mg_l,oxidation_reduction_potential_mv_bottom_sample,top_enterococci_bacteria_cells_100ml,top_total_suspended_solid_mg_l,total_phosphorus_mg_l,top_ph,bottom_ph,top_fecal_coliform_bacteria_cells_100ml,winkler_method_bottom_dissolved_oxygen_mg_l,oxidation_reduction_potential_mv_bottom_sample,oxidation_reduction_potential_mv_top_sample,lat,long,sampling_location,DESCRIPTION
329,1935-08-30T00:00:00.000,0.0,0.0,0.0,0,12.6,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,2.92,0.0,0.0,40.828000,-73.93383299999999,H3,155th Street
278,1937-06-08T00:00:00.000,0.0,0.0,0.0,0,21.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,6.54,0.0,0.0,40.567000,-74.211667,K4,Fresh Kills
397,1937-06-24T00:00:00.000,0.0,0.0,0.0,0,16.8,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,2.38,0.0,0.0,40.764500,-74.005833,N4,42nd Street
418,1937-07-07T00:00:00.000,0.0,0.0,0.0,0,24.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1.22,0.0,0.0,40.782500,-73.922,E4,Hell Gate
57,1937-07-08T00:00:00.000,0.0,0.0,0.0,0,31.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,7.15,0.0,0.0,40.568333,-73.983333,N9,Steeplechase Pier
376,1937-07-27T00:00:00.000,0.0,0.0,0.0,0,22.05,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,2.87,0.0,0.0,40.637500,-74.195833,K3,A & K Railroad Bridge
614,1937-08-11T00:00:00.000,0.0,0.0,0.0,0,30.8,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,5.15,0.0,0.0,40.573333,-73.88466700000001,J1,Rockaway Inlet
31,1938-08-25T00:00:00.000,0.0,0.0,0.0,0,25.2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,3.82,0.0,0.0,40.606167,-74.0455,N8,The Narrows
250,1939-06-28T00:00:00.000,0.0,0.0,0.0,0,14.35,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,3.54,0.0,0.0,40.914500,-73.916167,N1,Mt. St. Vincent
310,1939-08-10T00:00:00.000,0.0,0.0,0.0,0,23.8,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,3.19,0.0,0.0,40.704500,-74.03,N5,Pier A-The Battery
424,1939-08-31T00:00:00.000,0.0,0.0,0.0,0,25.9,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,2.76,0.0,0.0,40.782500,-73.922,E4,Hell Gate
491,1940-07-30T00:00:00.000,0.0,0.0,0.0,0,28.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,2.95,0.0,0.0,40.805000,-73.8205,E7,Whitestone
416,1940-09-05T00:00:00.000,0.0,0.0,0.0,0,23.1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1.45,0.0,0.0,40.782500,-73.922,E4,Hell Gate
333,1940-09-05T00:00:00.000,0.0,0.0,0.0,0,15.4,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,2.61,0.0,0.0,40.828000,-73.93383299999999,H3,155th Street
297,1941-07-03T00:00:00.000,0.0,0.0,0.0,0,25.9,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1.36,0.0,0.0,40.704500,-74.03,N5,Pier A-The Battery
337,1941-07-29T00:00:00.000,0.0,0.0,0.0,0,25.2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1.38,0.0,0.0,40.828000,-73.93383299999999,H3,155th Street
27,1941-09-05T00:00:00.000,0.0,0.0,0.0,0,33.25,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,5.89,0.0,0.0,40.606167,-74.0455,N8,The Narrows
616,1944-08-25T00:00:00.000,0.0,0.0,0.0,0,33.6,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,7.21,0.0,0.0,40.573333,-73.88466700000001,J1,Rockaway Inlet
285,1945-07-12T00:00:00.000,0.0,0.0,0.0,0,23.8,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,3.6,0.0,0.0,40.567000,-74.211667,K4,Fresh Kills
372,1945-08-03T00:00:00.000,0.0,0.0,0.0,0,11.55,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1.1,0.0,0.0,40.637500,-74.195833,K3,A & K Railroad Bridge
645,1945-08-21T00:00:00.000,0.0,0.0,0.0,0,24.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,8.1,0.0,0.0,40.510333,-74.100833,K6,Orchard Light
190,1946-09-10T00:00:00.000,0.0,0.0,0.0,0,26.6,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,3.7,0.0,0.0,40.664667,-74.051333,N6,"Buoy ""31"""
50,1947-07-01T00:00:00.000,0.0,0.0,0.0,0,30.1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,7.2,0.0,0.0,40.568333,-73.983333,N9,Steeplechase Pier
516,1947-07-03T00:00:00.000,0.0,0.0,0.0,0,27.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,5.1,0.0,0.0,40.800500,-73.78366700000001,E8,Throgs Neck
185,1947-07-17T00:00:00.000,0.0,0.0,0.0,0,28.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,3.8,0.0,0.0,40.664667,-74.051333,N6,"Buoy ""31"""
173,1947-08-26T00:00:00.000,0.0,0.0,0.0,0,23.8,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1.9,0.0,0.0,40.664667,-74.051333,N6,"Buoy ""31"""
637,1948-07-22T00:00:00.000,0.0,0.0,0.0,0,27.65,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,5.5,0.0,0.0,40.510333,-74.100833,K6,Orchard Light
381,1948-07-27T00:00:00.000,0.0,0.0,0.0,0,26.6,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1.5,0.0,0.0,40.785500,-73.860833,E6,Flushing Bay
186,1949-07-07T00:00:00.000,0.0,0.0,0.0,0,25.9,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,2.3,0.0,0.0,40.664667,-74.051333,N6,"Buoy ""31"""
43,1949-07-19T00:00:00.000,0.0,0.0,0.0,0,30.1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,4.4,0.0,0.0,40.568333,-73.983333,N9,Steeplechase Pier
307,1949-09-07T00:00:00.000,0.0,0.0,0.0,0,27.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,4.3,0.0,0.0,40.704500,-74.03,N5,Pier A-The Battery
362,1950-04-26T00:00:00.000,0.0,0.0,0.0,0,33.25,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,9.7,0.0,0.0,40.529667,-73.943667,N16,SI-FI-W Gong
546,1950-08-10T00:00:00.000,0.0,0.0,0.0,0,31.15,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,4.8,0.0,0.0,40.627000,-73.88283299999999,J3,Canarsie
54,1950-08-24T00:00:00.000,0.0,0.0,0.0,0,32.9,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,5.8,0.0,0.0,40.568333,-73.983333,N9,Steeplechase Pier
422,1950-09-06T00:00:00.000,0.0,0.0,0.0,0,29.05,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1.7,0.0,0.0,40.782500,-73.922,E4,Hell Gate
240,1951-07-18T00:00:00.000,0.0,0.0,0.0,0,16.1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,3.7,0.0,0.0,40.914500,-73.916167,N1,Mt. St. Vincent
91,1951-09-11T00:00:00.000,0.0,0.0,0.0,0,26.25,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,3.1,0.0,0.0,40.643833,-74.053833,N7,"""28"" Buoy Robbins Reef"
276,1952-07-15T00:00:00.000,0.0,0.0,0.0,0,20.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,40.567000,-74.211667,K4,Fresh Kills
303,1952-07-31T00:00:00.000,0.0,0.0,0.0,0,24.85,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,3.2,0.0,0.0,40.704500,-74.03,N5,Pier A-The Battery
103,1952-09-09T00:00:00.000,0.0,0.0,0.0,0,23.45,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,2.4,0.0,0.0,40.643833,-74.053833,N7,"""28"" Buoy Robbins Reef"
454,1953-06-18T00:00:00.000,0.0,0.0,0.0,0,26.6,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,7.3,0.0,0.0,40.597667,-73.809,J5,A train Trestle
171,1953-07-28T00:00:00.000,0.0,0.0,0.0,9,25.9,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,2.1,0.0,0.0,40.664667,-74.051333,N6,"Buoy ""31"""
79,1953-08-13T00:00:00.000,0.0,0.0,0.0,4,27.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,4.0,0.0,0.0,40.645333,-73.820833,J7,Bergen Basin
151,1954-06-08T00:00:00.000,0.0,0.0,0.0,23,21.35,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,5.4,0.0,0.0,40.651112,-74.08194499999999,K1,St. George
583,1954-07-01T00:00:00.000,0.0,0.0,0.0,3,34.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,6.9,0.0,0.0,40.567833,-73.9355,N9A,Coney Is W Outfall
83,1954-07-01T00:00:00.000,0.0,0.0,0.0,4,28.35,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,3.6,0.0,0.0,40.645333,-73.820833,J7,Bergen Basin
7,1954-07-13T00:00:00.000,0.0,0.0,0.0,9,25.2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,4.2,0.0,0.0,40.641167,-74.153,K2,Shooters Island
215,1955-06-08T00:00:00.000,0.0,0.0,0.0,93,18.55,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,3.9,0.0,0.0,40.820833,-73.965333,N3B,125th Street
214,1955-07-27T00:00:00.000,0.0,0.0,0.0,93,25.9,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1.4,0.0,0.0,40.820833,-73.965333,N3B,125th Street
188,1955-08-04T00:00:00.000,0.0,0.0,0.0,1100,30.8,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,3.1,0.0,0.0,40.664667,-74.051333,N6,"Buoy ""31"""
267,1955-08-25T00:00:00.000,0.0,0.0,0.0,9,28.7,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,4.8,0.0,0.0,40.843667,-73.765333,E10,Hart Island
174,1955-08-29T00:00:00.000,0.0,0.0,0.0,1100,24.85,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,2.6,0.0,0.0,40.664667,-74.051333,N6,"Buoy ""31"""
327,1956-08-29T00:00:00.000,0.0,0.0,0.0,150,25.55,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1.2,0.0,0.0,40.828000,-73.93383299999999,H3,155th Street
507,1956-08-30T00:00:00.000,0.0,0.0,0.0,2,30.1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,3.6,0.0,0.0,40.800500,-73.78366700000001,E8,Throgs Neck
347,1956-09-12T00:00:00.000,0.0,0.0,0.0,93,25.2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1.4,0.0,0.0,40.828000,-73.93383299999999,H3,155th Street
497,1957-07-02T00:00:00.000,0.0,0.0,0.0,46,29.05,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,4.0,0.0,0.0,40.805000,-73.8205,E7,Whitestone
439,1958-06-12T00:00:00.000,0.0,0.0,0.0,75,28.7,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,5.9,0.0,0.0,40.608055,-73.885835,J2,Mill Basin
87,1958-06-17T00:00:00.000,0.0,0.0,0.0,460,26.25,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,5.8,0.0,0.0,40.643833,-74.053833,N7,"""28"" Buoy Robbins Reef"
166,1958-07-08T00:00:00.000,0.0,0.0,0.0,460,25.55,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,3.8,0.0,0.0,40.651112,-74.08194499999999,K1,St. George
275,1958-08-18T00:00:00.000,0.0,0.0,0.0,2,29.05,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,3.6,0.0,0.0,40.843667,-73.765333,E10,Hart Island
238,1959-07-01T00:00:00.000,0.0,0.0,0.0,93,19.95,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,3.1,0.0,0.0,40.914500,-73.916167,N1,Mt. St. Vincent
230,1959-08-05T00:00:00.000,0.0,0.0,0.0,1100,24.15,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,2.2,0.0,0.0,40.820833,-73.965333,N3B,125th Street
32,1959-08-10T00:00:00.000,0.0,0.0,0.0,240,28.35,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,2.3,0.0,0.0,40.606167,-74.0455,N8,The Narrows
191,1959-08-11T00:00:00.000,0.0,0.0,0.0,1100,26.25,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1.8,0.0,0.0,40.664667,-74.051333,N6,"Buoy ""31"""
153,1959-08-25T00:00:00.000,0.0,0.0,0.0,460,28.7,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,2.0,0.0,0.0,40.651112,-74.08194499999999,K1,St. George
216,1960-06-29T00:00:00.000,0.0,0.0,0.0,240,20.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,2.9,0.0,0.0,40.820833,-73.965333,N3B,125th Street
90,1960-07-21T00:00:00.000,0.0,0.0,0.0,1100,29.75,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,3.2,0.0,0.0,40.643833,-74.053833,N7,"""28"" Buoy Robbins Reef"
626,1961-06-22T00:00:00.000,0.0,0.0,0.0,46,28.35,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,7.7,0.0,0.0,40.573333,-73.88466700000001,J1,Rockaway Inlet
