_id,sample_date,top_ammonium_mg_l,oakwood_bod_top_sample_mg_l,oxidation_reduction_potential_mv_bottom_sample,top_bottom_coliform_cells_100_ml,bottom_salinity_psu,ctd_conductivity_temperature_depth_profiler_bottom_dissolved_oxygen_mg_l,top_nitrate_nitrite_mg_l,top_dissolved_organic_carbon_mg_l,top_enterococci_bacteria_cells_100ml,top_total_suspended_solid_mg_l,total_phosphorus_mg_l,top_ph,bottom_ph,top_fecal_coliform_bacteria_cells_100ml,winkler_method_bottom_dissolved_oxygen_mg_l,oxidation_reduction_potential_mv_top_sample,lat,long,sampling_location,DESCRIPTION,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9c8"")",1980-07-15T00:00:00.000,0,1.7,0,9300,31.5,0,0,0,0,0,0,0,0,0,5.4,0,40.606167,-74.0455,N8,The Narrows,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9c9"")",1980-07-15T00:00:00.000,0,1.7,0,9300,31.5,0,0,0,0,0,0,0,0,0,5.4,0,40.606167,-74.0455,N8,The Narrows,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9ca"")",1982-07-06T00:00:00.000,0,2.6,0,0,26.4,0,0,0,0,0,0,0,0,0,6.4,0,40.606167,-74.0455,N8,The Narrows,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9cb"")",1982-07-06T00:00:00.000,0,2.6,0,0,26.4,0,0,0,0,0,0,0,0,0,6.4,0,40.606167,-74.0455,N8,The Narrows,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9cc"")",2007-03-21T00:00:00.000,0.198,0,145.904,0,29.28,9.24,0.248,3.11,3,8.8,0.067,7.97,8.01,4,10.85,144.757,40.606167,-74.0455,N8,The Narrows,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9cd"")",1911-07-13T00:00:00.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.43,0,40.606167,-74.0455,N8,The Narrows,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9ce"")",2007-08-01T00:00:00.000,0.266,0,132.071,0,29.13,4.76,0.162,4.3,10,12.7,0.082,7.54,7.64,4,5.78,140.079,40.606167,-74.0455,N8,The Narrows,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9cf"")",1972-07-27T00:00:00.000,0,0.6,0,490,31.4,0,0,0,0,0,0,0,0,0,5.6,0,40.568333,-73.983333,N9,Steeplechase Pier,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9d0"")",2010-03-09T00:00:00.000,0.108,0,197.481,0,28.97,12.66,0.112,2.1,0,3.4,0.05,7.76,7.8,0,11.67,194.185,40.568333,-73.983333,N9,Steeplechase Pier,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9d1"")",1922-06-15T00:00:00.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.568333,-73.983333,N9,Steeplechase Pier,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9d2"")",1949-07-19T00:00:00.000,0,0,0,0,30.1,0,0,0,0,0,0,0,0,0,4.4,0,40.568333,-73.983333,N9,Steeplechase Pier,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9d3"")",1966-06-23T00:00:00.000,0,0,0,33,29.75,0,0,0,0,0,0,0,0,0,6.8,0,40.568333,-73.983333,N9,Steeplechase Pier,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9d4"")",2000-08-10T00:00:00.000,0.116,0,0,0,29.5,5.09,0.135,2.82,0,5,0.093,7.41,7.49,6,7.23,0,40.568333,-73.983333,N9,Steeplechase Pier,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9d5"")",1985-04-10T00:00:00.000,0,0,0,7900,23.3,0,0,0,0,0,0,0,0,0,11,0,40.568333,-73.983333,N9,Steeplechase Pier,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9d6"")",1985-06-27T00:00:00.000,0,5.5,0,490,29,0,0,0,0,0,0,0,0,0,7.6,0,40.568333,-73.983333,N9,Steeplechase Pier,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9d7"")",1927-07-29T00:00:00.000,0,0,0,0,32.2,0,0,0,0,0,0,0,0,0,5.26,0,40.568333,-73.983333,N9,Steeplechase Pier,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9d8"")",1988-03-07T00:00:00.000,0,0,0,70,20,0,0,0,0,0,0,0,0,0,9.7,0,40.568333,-73.983333,N9,Steeplechase Pier,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9d9"")",1947-07-01T00:00:00.000,0,0,0,0,30.1,0,0,0,0,0,0,0,0,0,7.2,0,40.568333,-73.983333,N9,Steeplechase Pier,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9da"")",2008-06-03T00:00:00.000,0.088,0,0,0,30.53,7.83,0.058,2.4,1,10.8,0.061,7.66,7.71,2,8.48,0,40.568333,-73.983333,N9,Steeplechase Pier,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9db"")",2014-09-23T00:00:00.000,0.183,0,127.832,0,29.72,6.34,0.079,2.13,1,12,0.086,7.86,7.87,1,6.59,135.683,40.568333,-73.983333,N9,Steeplechase Pier,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9dc"")",1995-03-28T00:00:00.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.568333,-73.983333,N9,Steeplechase Pier,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9dd"")",1950-08-24T00:00:00.000,0,0,0,0,32.9,0,0,0,0,0,0,0,0,0,5.8,0,40.568333,-73.983333,N9,Steeplechase Pier,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9de"")",2008-01-15T00:00:00.000,0.178,0,0,0,25.9,0,0.246,2.8,10,8,0.078,7.5,7.57,30,10.45,0,40.568333,-73.983333,N9,Steeplechase Pier,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9df"")",2012-12-12T00:00:00.000,0.223,0,248.886,0,29.55,8.52,0.222,1.7,5,11,0.107,7.85,7.79,33,9.78,246.663,40.568333,-73.983333,N9,Steeplechase Pier,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9e0"")",1937-07-08T00:00:00.000,0,0,0,0,31.5,0,0,0,0,0,0,0,0,0,7.15,0,40.568333,-73.983333,N9,Steeplechase Pier,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9e1"")",1984-08-30T00:00:00.000,0,1.5,0,230,30.8,0,0,0,0,0,0,0,0,0,6.2,0,40.568333,-73.983333,N9,Steeplechase Pier,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9e2"")",1984-08-30T00:00:00.000,0,1.5,0,230,30.8,0,0,0,0,0,0,0,0,0,6.2,0,40.568333,-73.983333,N9,Steeplechase Pier,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9e3"")",2014-02-26T00:00:00.000,0.718,0,0,0,22.01,7.84,0.374,3.08,20,11,0.183,7.46,7.5,56,9.87,0,40.714961,-73.931556,NC0,English Kills,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9e4"")",-73.931556,1.25,0,0,0,19.02,0.11,0.036,4,1040,10,0.353,6.83,6.8,"7,600",-212.228,-236.897,40.714961,2011-10-04T00:00:00.000,NC0,,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9e5"")",2007-10-03T00:00:00.000,0.838,0,0,0,24.2,0,0.294,3.28,148,12,0.307,7.05,7.06,520,1.13,0,40.714961,-73.931556,NC0,English Kills,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9e6"")",2004-07-28T00:00:00.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.714961,-73.931556,NC0,English Kills,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9e7"")",2014-06-25T00:00:00.000,0.879,0,146.147,0,20.09,5.31,0.186,3.12,20,13,0.356,7.22,7.24,310,5.52,149.015,40.714961,-73.931556,NC0,English Kills,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9e8"")",2015-08-19T00:00:00.000,0.593,0,434.174,0,23.3,4.33,0.19,2.72,24,6,0.38,7.09,7.12,193,4.77,417.021,40.714961,-73.931556,NC0,English Kills,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9e9"")",1968-08-28T00:00:00.000,0,3.6,0,240000,27.6,0,0,0,0,0,0,0,0,0,2.4,0,40.747499,-73.966112,E3,,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9ea"")",2000-07-06T00:00:00.000,0.448,0,0,0,0,0,0.278,2.9,0,15.2,0.119,6.92,6.94,88,4.52,0,40.747499,-73.966112,E3,,,,,,,,,,,,,,,,
